names,time_line,gener,votes,runtime
Trigun,(1998),"Animation,Action,Adventure","22,585",165 min
Hellsing Ultimate,(2006–2012),"Animation,Action,Fantasy","24,328",24 min
Toradora!,(2008–2009),"Animation,Comedy,Drama","16,568",24 min
Kaleido Star,(2003–2004),"Animation,Comedy,Drama",936,25 min
Blood+,(2005–2006),"Animation,Action,Adventure","4,668",26 min
Golden Boy: Sasurai no o-benkyô yarô,(1995–1996),"Animation,Comedy","6,114",30 min
JoJo no Kimyô na Bôken,(2012– ),"Animation,Action,Adventure","26,918",50 min
Suzumiya Haruhi no Yûutsu,(2006–2009),"Animation,Comedy,Fantasy","8,704",25 min
XXXHOLiC,(2006–2011),"Animation,Comedy,Drama","1,945",25 min
Nodame kantâbire,(2007–2010),"Animation,Comedy,Drama","1,300",25 min
Seikai no monshô,(1999),"Animation,Action,Drama",510,253 min
Clannad,(2007–2008),"Animation,Comedy,Drama","9,729",
Katanagatari,(2010),"Animation,Action,Adventure","1,481",
Kimagure orenji rôdo,(1985–1988),"Animation,Comedy,Drama",872,
Mirai nikki,(2011–2013),"Animation,Action,Drama","18,265",
Koi kaze,(2004),"Animation,Drama,Romance",448,
Tekunoraizu,(2003),"Animation,Drama,Sci-Fi","2,890",
Yojôhan shinwa taikei,(2010),"Animation,Comedy,Drama","4,444",
